TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_reads_mapped,corr_reads_mapped_div_gene_len,L1_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
1238,1301,2207,0.48759354076408035,0.35936139332365746,0.4137700534759358,0.3394769476054567,0.7621044539250375,0.25963395979762083,0.6862667356267331,0.48759354076408035,2539,0
377,1301,1236,0.22467222884386173,0.23372597644141352,0.22910969310240048,0.308979428722032,0.5281271081842779,0.19838227885712828,0.4575333903376118,0.22467222884386173,1678,5
197,1301,900,0.1315086782376502,0.17958067456700091,0.15183044315992292,0.23696361202797425,0.5458594001474162,0.09600952238529016,0.4960353655686867,0.1315086782376502,1498,10
98,1301,776,0.07005003573981415,0.11212814645308924,0.086229652441707,0.48149550300623917,0.43030185601331666,0.365260116097046,0.39891782971519163,0.07005003573981415,1399,15
56,1301,662,0.04126750184229919,0.07799442896935933,0.05397590361445783,0.5641219255303066,0.3830957668492254,0.4448116516778612,0.3898032014519476,0.04126750184229919,1357,20
32,1301,593,0.024006001500375095,0.0512,0.03268641470888662,0.5374506200866993,0.395804784903965,0.4789251893354066,0.42621396959144686,0.024006001500375095,1333,25
17,1301,534,0.012898330804248861,0.030852994555353903,0.01819154628143392,0.5814440721550744,0.3412130708268047,0.561670893890108,0.32635788714329994,0.012898330804248861,1318,30
8,1301,491,0.006111535523300229,0.01603206412825651,0.008849557522123894,0.7918327296398189,0.20723549272664166,0.8799318569956659,0.18256736855873834,0.006111535523300229,1309,35
7,1301,434,0.005351681957186544,0.015873015873015872,0.008004574042309892,0.7699819450061504,0.21954260814754933,0.8605339857157653,0.1888171658768827,0.005351681957186544,1308,40
5,1301,400,0.0038284839203675345,0.012345679012345678,0.005844535359438925,0.9960055422210208,0.044420368364030294,0.9990178777744245,0.034107947349865456,0.0038284839203675345,1306,45
4,1301,364,0.0030651340996168583,0.010869565217391304,0.004781829049611476,0.9973726403668671,0.045834367502275125,0.9999066218694438,0.03600129924109234,0.0030651340996168583,1305,50
3,1301,329,0.0023006134969325155,0.009036144578313253,0.0036674816625916875,0.9972000718109807,0.03675554069254869,0.9998844552438525,0.024718907458313788,0.0023006134969325155,1304,55
2,1301,306,0.0015349194167306216,0.006493506493506494,0.002482929857231533,1.0,0.04330475908956549,1.0,0.03921189938917857,0.0015349194167306216,1303,60
1,1301,284,0.0007680491551459293,0.0035087719298245615,0.001260239445494644,,0.0,,0.0,0.0007680491551459293,1302,65
1,1301,267,0.0007680491551459293,0.0037313432835820895,0.0012738853503184715,,0.0,,0.0,0.0007680491551459293,1302,70
1,1301,247,0.0007680491551459293,0.004032258064516129,0.0012903225806451613,,0.0,,0.0,0.0007680491551459293,1302,75
1,1301,235,0.0007680491551459293,0.00423728813559322,0.0013003901170351103,,0.0,,0.0,0.0007680491551459293,1302,80
1,1301,221,0.0007680491551459293,0.0045045045045045045,0.0013123359580052491,,0.0,,0.0,0.0007680491551459293,1302,85
1,1301,204,0.0007680491551459293,0.004878048780487805,0.0013271400132714001,,0.0,,0.0,0.0007680491551459293,1302,90
1,1301,188,0.0007680491551459293,0.005291005291005291,0.0013413816230717639,,0.0,,0.0,0.0007680491551459293,1302,95
