TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_reads_mapped,corr_reads_mapped_div_gene_len,L1_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
4394,1103,5523,0.799345097325814,0.44307754361197943,0.5701310496950823,0.5605141248785257,1.2355522731187918,0.5563274938186785,1.1860100925167945,0.799345097325814,5497,0
1792,1103,3817,0.6189982728842832,0.3194865394901052,0.42144873000940736,0.7164067121664187,0.9078691944433428,0.7588276964366208,0.8551224875979082,0.6189982728842832,2895,5
1095,1103,3248,0.4981801637852593,0.25212986414920563,0.33481119094939615,0.7395575573178969,0.8377354956355574,0.792456814279913,0.787941567824531,0.4981801637852593,2198,10
688,1103,2882,0.384142936906756,0.1927170868347339,0.2566685319903003,0.7746097789530182,0.7454278377304205,0.8302992598258201,0.6872056043969681,0.384142936906756,1791,15
453,1103,2645,0.2911311053984576,0.14622336991607487,0.19467125053717232,0.7864410237876561,0.697474504084652,0.8460677686506402,0.6296479566495208,0.2911311053984576,1556,20
292,1103,2434,0.20931899641577062,0.10711665443873808,0.14171317641349188,0.8101163739772271,0.6114739240362836,0.8602674251243991,0.550169174304198,0.20931899641577062,1395,25
221,1103,2277,0.16691842900302115,0.08847077662129704,0.11564625850340135,0.9091104374717459,0.4736376241192867,0.8979788848934787,0.44810802311789055,0.16691842900302115,1324,30
156,1103,2129,0.12390786338363781,0.06827133479212254,0.08803611738148985,0.9187345494938423,0.4246452468657555,0.8981857463227825,0.41336475176758114,0.12390786338363781,1259,35
123,1103,2007,0.100326264274062,0.057746478873239436,0.0733015494636472,0.9180914408018956,0.4049438133922109,0.8939231902421559,0.40004209869526486,0.100326264274062,1226,40
97,1103,1889,0.08083333333333333,0.048841893252769386,0.06089139987445073,0.915259904824986,0.39482142360089784,0.8874416538138973,0.3916028925587768,0.08083333333333333,1200,45
85,1103,1805,0.07154882154882154,0.04497354497354497,0.055230669265756975,0.9128350054915361,0.39554802128186883,0.881964722943517,0.3925239253672737,0.07154882154882154,1188,50
80,1103,1712,0.0676246830092984,0.044642857142857144,0.05378151260504202,0.9117840057089339,0.3922478864853932,0.8790527134269281,0.39113175429063285,0.0676246830092984,1183,55
72,1103,1656,0.06127659574468085,0.041666666666666664,0.0496038580778505,0.9131788826834275,0.3782145875885331,0.8758823747737853,0.3928336254773296,0.06127659574468085,1175,60
66,1103,1574,0.05645851154833191,0.04024390243902439,0.04699181203275188,0.9110190387219032,0.38014194304490423,0.8707694557094708,0.3947755437306444,0.05645851154833191,1169,65
63,1103,1509,0.054030874785591765,0.04007633587786259,0.04601899196493791,0.9100012576340647,0.3813822827360222,0.8715341571604303,0.40017800001637815,0.054030874785591765,1166,70
60,1103,1448,0.051590713671539126,0.03978779840848806,0.04492699363534257,0.9088046025903317,0.3834975426494778,0.8690174720228379,0.40242744617566434,0.051590713671539126,1163,75
58,1103,1391,0.04995693367786391,0.04002760524499655,0.04444444444444445,0.9079980723121938,0.3848725346135657,0.8684499015493529,0.4059400663692241,0.04995693367786391,1161,80
57,1103,1342,0.04913793103448276,0.0407433881343817,0.04454865181711606,0.9076477647707466,0.3853758485520965,0.8686209755219383,0.4076305490527538,0.04913793103448276,1160,85
55,1103,1302,0.047495682210708115,0.040530582166543844,0.04373757455268389,0.9272119858438762,0.3439003044049746,0.8687597624281196,0.39258504496441027,0.047495682210708115,1158,90
54,1103,1261,0.046672428694900604,0.04106463878326996,0.043689320388349516,0.9268948440519622,0.3447589398992766,0.8682260737302206,0.3943039718536789,0.046672428694900604,1157,95
