TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
0,8,36,0.0,0.0,0,,0.0,,0.0,0.0,8,0
0,8,35,0.0,0.0,0,,0.0,,0.0,0.0,8,5
0,8,27,0.0,0.0,0,,0.0,,0.0,0.0,8,10
0,8,12,0.0,0.0,0,,0.0,,0.0,0.0,8,15
0,8,9,0.0,0.0,0,,0.0,,0.0,0.0,8,20
0,8,7,0.0,0.0,0,,0.0,,0.0,0.0,8,25
0,8,6,0.0,0.0,0,,0.0,,0.0,0.0,8,30
0,8,5,0.0,0.0,0,,0.0,,0.0,0.0,8,35
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,40
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,45
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,50
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,55
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,60
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,65
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,70
0,8,3,0.0,0.0,0,,0.0,,0.0,0.0,8,75
0,8,2,0.0,0.0,0,,0.0,,0.0,0.0,8,80
0,8,2,0.0,0.0,0,,0.0,,0.0,0.0,8,85
0,8,2,0.0,0.0,0,,0.0,,0.0,0.0,8,90
0,8,2,0.0,0.0,0,,0.0,,0.0,0.0,8,95
